#ID	T_NUM	LAT	LON
453	1	37.639473	-0.692575
454	1	37.639473	-0.692572
455	1	37.639473	-0.692572
456	1	37.639473	-0.692572
457	1	37.639473	-0.692572
458	1	37.639473	-0.692572
459	1	37.639473	-0.69257
460	1	37.639473	-0.69257
461	1	37.639473	-0.69257
462	1	37.639473	-0.69257
463	1	37.639473	-0.69257
464	1	37.639473	-0.69257
465	1	37.639473	-0.69257
466	1	37.639473	-0.69257
467	1	37.639473	-0.69257
468	1	37.639473	-0.69257
469	1	37.639472	-0.692568
470	1	37.639472	-0.692568
471	1	37.639472	-0.692568
472	1	37.639472	-0.692568
473	1	37.639472	-0.692568
474	1	37.639472	-0.692567
475	1	37.639472	-0.692567
476	1	37.639472	-0.692567
477	1	37.639472	-0.692567
478	1	37.639472	-0.692567
479	1	37.639472	-0.692563
480	1	37.639472	-0.692563
481	1	37.639472	-0.692563
482	1	37.639472	-0.692563
483	1	37.639472	-0.692563
484	1	37.63947	-0.692562
485	1	37.63947	-0.692562
486	1	37.63947	-0.692562
487	1	37.63947	-0.692562
488	1	37.63947	-0.692562
489	1	37.63947	-0.692562
490	1	37.63947	-0.692562
491	1	37.63947	-0.692562
492	1	37.63947	-0.692562
493	1	37.63947	-0.692562
494	1	37.63947	-0.69256
495	1	37.63947	-0.69256
496	1	37.63947	-0.69256
497	1	37.63947	-0.69256
498	1	37.63947	-0.69256
499	1	37.639468	-0.692558
500	1	37.639468	-0.692558
501	1	37.639468	-0.692558
502	1	37.639468	-0.692558
503	1	37.639468	-0.692558
504	1	37.63947	-0.692558
505	1	37.63947	-0.692558
506	1	37.63947	-0.692558
507	1	37.63947	-0.692558
508	1	37.63947	-0.692558
509	1	37.63947	-0.692557
510	1	37.63947	-0.692557
511	1	37.63947	-0.692557
512	1	37.63947	-0.692557
513	1	37.63947	-0.692557
514	1	37.63947	-0.692555
515	1	37.63947	-0.692555
516	1	37.63947	-0.692555
517	1	37.63947	-0.692555
518	1	37.63947	-0.692555
519	1	37.639468	-0.692555
520	1	37.639468	-0.692555
521	1	37.639468	-0.692555
522	1	37.639468	-0.692555
523	1	37.639468	-0.692555
524	1	37.639463	-0.692552
525	1	37.639463	-0.692552
526	1	37.639463	-0.692552
527	1	37.639463	-0.692552
528	1	37.639463	-0.692552
529	1	37.639463	-0.692552
530	1	37.639463	-0.692552
531	1	37.639463	-0.692552
532	1	37.639463	-0.692552
